code,affinity,Kd/Ki,afftype
3ao4,2.07,Kd=8.5mM,Kd
3gv9,2.12,Ki=7.5mM,Ki
1uto,2.27,Kd=5.32mM,Kd
1ps3,2.28,Ki=5.2mM,Ki
4ddk,2.29,Kd=5.1mM,Kd
4jsz,2.3,Ki=5000uM,Ki
3g2z,2.36,Ki=4.4mM,Ki
3dxg,2.4,Ki=4.0mM,Ki
3l7b,2.4,Ki=4.01mM,Ki
3gr2,2.52,Ki=3mM,Ki
3kgp,2.57,Ki=2.68mM,Ki
3fcq,2.77,Ki=1.7mM,Ki
3lka,2.82,Kd=1.5mM,Kd
3zt2,2.84,Kd=1435uM,Kd
3udh,2.85,Kd=1.4mM,Kd
3g31,2.89,Ki=1.3mM,Ki
4llx,2.89,Ki=1300uM,Ki
4u4s,2.92,Kd=1200uM,Kd
4owm,2.96,Ki=1090uM,Ki
5aba,2.98,Kd=1040uM,Kd
2xdl,3.1,Kd=790uM,Kd
4kz6,3.1,Ki=0.8mM,Ki
2ymd,3.16,Kd=693uM,Kd
3aru,3.22,Kd=600uM,Kd
1bcu,3.28,Kd=0.53mM,Kd
3zsx,3.28,Kd=519uM,Kd
4ddh,3.3,Kd=0.5mM,Kd
4mrw,3.3,Ki=500uM,Ki
4eky,3.52,Ki=303.0uM,Ki
4mrz,3.52,Ki=300uM,Ki
4abg,3.57,Kd=271uM,Kd
5a7b,3.57,Kd=271uM,Kd
3dx1,3.58,Ki=265uM,Ki
4bkt,3.62,Kd=240uM,Kd
2v00,3.66,Kd=0.22mM,Kd
4cig,3.67,Kd=214uM,Kd
3n7a,3.7,Ki=200uM,Ki
3d6q,3.76,Ki=172uM,Ki
2hb1,3.8,Ki=160uM,Ki
3twp,3.92,Ki=119uM,Ki
4agn,3.97,Kd=107uM,Kd
1c5z,4.01,Ki=97uM,Ki
3nq9,4.03,Kd=92.6uM,Kd
4msn,4.03,Ki=94uM,Ki
2w66,4.05,Ki=89uM,Ki
3kwa,4.08,Ki=84uM,Ki
3g2n,4.09,Ki=81uM,Ki
4cr9,4.1,Ki=80uM,Ki
4ih5,4.11,Kd=78uM,Kd
4de2,4.12,Ki=76.0uM,Ki
3ozt,4.13,Ki=74.9uM,Ki
3f3a,4.19,Ki=64.8uM,Ki
1a30,4.3,Ki=50uM,Ki
3ivg,4.3,Kd=50uM,Kd
3u9q,4.38,Ki=41.7uM,Ki
3rsx,4.41,Kd=38.8uM,Kd
3pxf,4.43,Kd=37uM,Kd
2wbg,4.45,Ki=35.2uM,Ki
3rr4,4.55,Ki=28.05uM,Ki
4w9c,4.65,Kd=22.2uM,Kd
3mss,4.66,Kd=22uM,Kd
4agp,4.69,Kd=20.6uM,Kd
4mgd,4.69,Kd=20.19uM,Kd
1vso,4.72,Ki=18.98uM,Ki
4jxs,4.74,Ki=18uM,Ki
1q8t,4.76,Kd=17.5uM,Kd
3acw,4.76,Ki=17.5uM,Ki
4lzs,4.8,Kd=16uM,Kd
3r88,4.82,Ki=15uM,Ki
4ciw,4.82,Ki=15.0uM,Ki
2w4x,4.85,Kd=14uM,Kd
2brb,4.86,Ki=13.7uM,Ki
1p1q,4.89,Kd=12.8uM,Kd
3d4z,4.89,Ki=13uM,Ki
1bzc,4.92,Ki=12uM,Ki
1nc3,5.0,Ki=10uM,Ki
4agq,5.01,Kd=9.7uM,Kd
4w9l,5.02,Kd=9.52uM,Kd
2yge,5.06,Kd=8.62uM,Kd
5c1w,5.06,Ki=8.7uM,Ki
2r9w,5.1,Ki=8uM,Ki
3gy4,5.1,Kd=8uM,Kd
3syr,5.1,Ki=7.9uM,Ki
3zso,5.12,Kd=7.6uM,Kd
2br1,5.14,Ki=7.2uM,Ki
1s38,5.15,Ki=7.0uM,Ki
3b27,5.16,Kd=6.9uM,Kd
4gkm,5.17,Ki=6.8uM,Ki
4m0z,5.19,Kd=6.4uM,Kd
1w4o,5.22,Ki=6uM,Ki
3ueu,5.24,Kd=5.81uM,Kd
4ih7,5.24,Kd=5.8uM,Kd
4jfs,5.27,Ki=5.4uM,Ki
3ozs,5.33,Ki=4645nM,Ki
3bv9,5.36,Ki=4.4uM,Ki
1gpk,5.37,Ki=4.3uM,Ki
1syi,5.44,Ki=3590nM,Ki
2cbv,5.48,Kd=3.3uM,Kd
1ydr,5.52,Ki=3.0uM,Ki
4de3,5.52,Ki=3.0uM,Ki
3coz,5.57,Kd=2.7uM,Kd
2wca,5.6,Ki=2.5uM,Ki
3u5j,5.61,Kd=2.46uM,Kd
4dli,5.62,Kd=2.40uM,Kd
1z9g,5.64,Ki=2.3uM,Ki
3arv,5.64,Kd=2.3uM,Kd
3n86,5.64,Ki=2.3uM,Ki
5c28,5.66,Ki=2.2uM,Ki
4j28,5.7,Ki=2.0uM,Ki
3jvr,5.72,Ki=1.89uM,Ki
1o5b,5.77,Ki=1.7uM,Ki
2y5h,5.79,Ki=1620nM,Ki
3qqs,5.82,Ki=1.5uM,Ki
3wz8,5.82,Ki=1.5uM,Ki
4dld,5.82,Ki=1.5uM,Ki
3ehy,5.85,Ki=1.4uM,Ki
3uev,5.89,Kd=1.29uM,Kd
3ebp,5.91,Ki=1.24uM,Ki
1o0h,5.92,Ki=1.2uM,Ki
1q8u,5.96,Kd=1.1uM,Kd
4de1,5.96,Ki=1.1uM,Ki
4msc,5.96,Ki=1.1uM,Ki
4w9i,5.96,Kd=1.10uM,Kd
3ary,6.0,Kd=1.0uM,Kd
3coy,6.02,Kd=0.96uM,Kd
3f3c,6.02,Ki=950nM,Ki
2fxs,6.06,Kd=0.87uM,Kd
4kzq,6.1,Kd=788nM,Kd
2qnq,6.11,Ki=0.77uM,Ki
1nc1,6.12,Ki=0.75uM,Ki
2wvt,6.12,Kd=755nM,Kd
1yc1,6.17,Kd=680nM,Kd
3bgz,6.26,Ki=0.55uM,Ki
4wiv,6.26,Kd=550nM,Kd
3k5v,6.3,Kd=0.5uM,Kd
4eor,6.3,Ki=500nM,Ki
3uew,6.31,Kd=0.49uM,Kd
2wnc,6.32,Kd=479nM,Kd
2zb1,6.32,Kd=0.48uM,Kd
2qbr,6.33,Ki=0.47uM,Ki
3arq,6.4,Kd=0.4uM,Kd
2j78,6.42,Kd=384nM,Kd
4ea2,6.44,Ki=0.36uM,Ki
1r5y,6.46,Ki=0.35uM,Ki
4m0y,6.46,Kd=0.35uM,Kd
1gpn,6.48,Ki=0.334uM,Ki
2weg,6.5,Kd=314nM,Kd
4kzu,6.5,Ki=313nM,Ki
4mme,6.5,Kd=318nM,Kd
3cj4,6.51,Kd=0.31uM,Kd
3uo4,6.52,Kd=299nM,Kd
3wtj,6.53,Kd=0.297uM,Kd
3jvs,6.54,Kd=0.29uM,Kd
1k1i,6.58,Kd=264nM,Kd
2yfe,6.63,Ki=0.236uM,Ki
4k77,6.63,Ki=235nM,Ki
2xj7,6.66,Ki=220nM,Ki
2iwx,6.68,Kd=0.21uM,Kd
4f09,6.7,Ki=200nM,Ki
4djv,6.72,Ki=0.19uM,Ki
4w9h,6.73,Kd=0.185uM,Kd
4ogj,6.79,Kd=164nM,Kd
1p1n,6.8,Kd=0.16uM,Kd
3dx2,6.82,Ki=150nM,Ki
2xnb,6.83,Ki=149nM,Ki
3n76,6.85,Ki=0.14uM,Ki
3pyy,6.86,Kd=137nM,Kd
2zcr,6.87,Ki=135nM,Ki
3oe5,6.88,Ki=132nM,Ki
3jya,6.89,Ki=0.1301uM,Ki
3gbb,6.9,Ki=126nM,Ki
3uex,6.92,Kd=0.12uM,Kd
4f9w,6.94,Ki=114nM,Ki
2wer,7.05,Kd=90nM,Kd
1lpg,7.09,Ki=82nM,Ki
3zdg,7.1,Ki=79nM,Ki
1z95,7.12,Ki=76nM,Ki
1pxn,7.15,Ki=0.07uM,Ki
3arp,7.15,Kd=0.07uM,Kd
3f3d,7.16,Kd=69nM,Kd
3tsk,7.17,Kd=67nM,Kd
2j7h,7.19,Kd=65nM,Kd
2xii,7.2,Kd=63.3nM,Kd
4cra,7.22,Ki=0.06uM,Ki
4gfm,7.22,Ki=0.06uM,Ki
1oyt,7.24,Ki=0.057uM,Ki
3p5o,7.26,Kd=55.2nM,Kd
3gc5,7.26,Ki=55nM,Ki
2vvn,7.3,Kd=50nM,Kd
1qf1,7.32,Ki=48nM,Ki
1ydt,7.32,Ki=48nM,Ki
3pww,7.32,Ki=48nM,Ki
1owh,7.4,Ki=40nM,Ki
2zy1,7.4,Ki=0.04uM,Ki
3up2,7.4,Kd=40nM,Kd
4j21,7.41,Kd=39nM,Kd
2xys,7.42,Ki=38nM,Ki
2qbq,7.44,Ki=0.036uM,Ki
3oe4,7.47,Ki=34nM,Ki
3rlr,7.52,Ki=30nM,Ki
2xb8,7.59,Ki=26nM,Ki
2c3i,7.6,Kd=25nM,Kd
4e5w,7.66,Ki=22nM,Ki
3f3e,7.7,Kd=20nM,Kd
1u1b,7.8,Kd=16nM,Kd
3qgy,7.8,Ki=16nM,Ki
3ryj,7.8,Kd=16nM,Kd
4j3l,7.8,Kd=16nM,Kd
3prs,7.82,Ki=15nM,Ki
4pcs,7.85,Ki=14nM,Ki
4hge,7.92,Ki=11.9nM,Ki
1o3f,7.96,Ki=0.011uM,Ki
2qe4,7.96,Ki=11.0nM,Ki
3uuo,7.96,Ki=11nM,Ki
3cyx,8.0,Ki=10nM,Ki
3e92,8.0,Ki=10nM,Ki
3fur,8.0,Ki=10nM,Ki
2cet,8.02,Kd=9.6nM,Kd
5tmn,8.04,Ki=9.1nM,Ki
3ag9,8.05,Ki=9nM,Ki
3kr8,8.1,Kd=8nM,Kd
3nx7,8.1,Kd=7.88nM,Kd
3fv2,8.11,Ki=7.7nM,Ki
4eo8,8.15,Kd=7nM,Kd
3e5a,8.23,Ki=5.9nM,Ki
1nvq,8.25,Ki=5.6nM,Ki
2v7a,8.3,Kd=0.005uM,Kd
4x6p,8.3,Ki=5nM,Ki
1h23,8.35,Ki=4.5nM,Ki
4e6q,8.36,Ki=4.4nM,Ki
2al5,8.4,Ki=4nM,Ki
2qbp,8.4,Ki=0.004uM,Ki
2zda,8.4,Ki=4nM,Ki
3b68,8.4,Ki=4nM,Ki
2xbv,8.43,Kd=3.7nM,Kd
3b1m,8.48,Ki=3.3nM,Ki
2fvd,8.52,Ki=3nM,Ki
2vw5,8.52,Kd=3nM,Kd
2wn9,8.52,Kd=3.0nM,Kd
3ejr,8.57,Ki=2.7nM,Ki
4qd6,8.64,Ki=2.3nM,Ki
3u8k,8.66,Ki=2.2nM,Ki
3ge7,8.7,Ki=2nM,Ki
4crc,8.72,Ki=0.0019uM,Ki
4ivb,8.72,Ki=1.9nM,Ki
2vkm,8.74,Ki=1.8nM,Ki
2wtv,8.74,Ki=1.8nM,Ki
3b5r,8.77,Ki=1.7nM,Ki
2zcq,8.82,Ki=1.5nM,Ki
3e93,8.85,Ki=1.4nM,Ki
4k18,8.96,Ki=1.1nM,Ki
2p4y,9.0,Ki=1nM,Ki
3dd0,9.0,Ki=1nM,Ki
3nw9,9.0,Ki=1nM,Ki
3ui7,9.0,Ki=1nM,Ki
3uri,9.0,Ki=1nM,Ki
1qkt,9.04,Kd=0.92nM,Kd
1h22,9.1,Ki=0.8nM,Ki
3gnw,9.1,Kd=0.79nM,Kd
1sqa,9.21,Ki=0.62nM,Ki
4jia,9.22,Ki=0.6nM,Ki
3b65,9.27,Ki=0.54nM,Ki
3fv1,9.3,Ki=0.5nM,Ki
4qac,9.4,Kd=0.4nM,Kd
2yki,9.46,Kd=0.35nM,Kd
3g0w,9.52,Ki=0.3nM,Ki
4ivd,9.52,Ki=0.3nM,Ki
4ty7,9.52,Ki=0.3nM,Ki
2pog,9.54,Ki=0.29nM,Ki
4gr0,9.55,Ki=0.28nM,Ki
1eby,9.7,Ki=0.20nM,Ki
1z6e,9.72,Ki=0.19nM,Ki
1e66,9.89,Ki=0.13nM,Ki
4ivc,10.0,Ki=0.1nM,Ki
4twp,10.0,Ki=100pM,Ki
4rfm,10.05,Ki=90pM,Ki
1y6r,10.11,Ki=77pM,Ki
3u8n,10.17,Ki=0.067nM,Ki
4tmn,10.17,Ki=0.068nM,Ki
2p15,10.3,Kd=50pM,Kd
3myg,10.7,Kd=0.02nM,Kd
4gid,10.77,Ki=0.017nM,Ki
3utu,10.92,Ki=0.012nM,Ki
5c2h,11.09,Ki=8.2pM,Ki
1mq6,11.15,Ki=7pM,Ki
5dwr,11.22,Ki=6pM,Ki
4f2w,11.3,Ki=5.0pM,Ki
2x00,11.33,Kd=4.7pM,Kd
3o9i,11.82,Ki=1.5pM,Ki
4f3c,11.82,Ki=1.5pM,Ki
